NAICS_TITLE,OCC_TITLE,TOT_EMP,A_MEAN,year
General Medical and Surgical Hospitals,Business and Financial Operations Occupations,96670,67980,2018-05-01
General Medical and Surgical Hospitals,Business Operations Specialists,73950,67840,2018-05-01
General Medical and Surgical Hospitals,Buyers and Purchasing Agents,6970,56540,2018-05-01
General Medical and Surgical Hospitals,"Claims Adjusters, Appraisers, Examiners, and Investigators",250,61290,2018-05-01
General Medical and Surgical Hospitals,"Claims Adjusters, Examiners, and Investigators",250,61290,2018-05-01
General Medical and Surgical Hospitals,Compliance Officers,5310,72400,2018-05-01
General Medical and Surgical Hospitals,Cost Estimators,50,70470,2018-05-01
General Medical and Surgical Hospitals,Human Resources Workers,15390,62490,2018-05-01
General Medical and Surgical Hospitals,Human Resources Specialists,14940,62030,2018-05-01
General Medical and Surgical Hospitals,Labor Relations Specialists,450,77540,2018-05-01
General Medical and Surgical Hospitals,Logisticians,780,67190,2018-05-01
General Medical and Surgical Hospitals,Management Analysts,7680,81780,2018-05-01
General Medical and Surgical Hospitals,"Meeting, Convention, and Event Planners",640,58520,2018-05-01
General Medical and Surgical Hospitals,Fundraisers,2090,66110,2018-05-01
General Medical and Surgical Hospitals,"Compensation, Benefits, and Job Analysis Specialists",2420,67130,2018-05-01
General Medical and Surgical Hospitals,Training and Development Specialists,8610,70870,2018-05-01
General Medical and Surgical Hospitals,Market Research Analysts and Marketing Specialists,3490,68110,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Business Operations Specialists,20260,68630,2018-05-01
General Medical and Surgical Hospitals,"Business Operations Specialists, All Other",20260,68630,2018-05-01
General Medical and Surgical Hospitals,Financial Specialists,22720,68460,2018-05-01
General Medical and Surgical Hospitals,Accountants and Auditors,11200,71310,2018-05-01
General Medical and Surgical Hospitals,Budget Analysts,960,77030,2018-05-01
General Medical and Surgical Hospitals,Credit Analysts,70,69270,2018-05-01
General Medical and Surgical Hospitals,Financial Analysts and Advisors,5110,72370,2018-05-01
General Medical and Surgical Hospitals,Financial Analysts,4710,74540,2018-05-01
General Medical and Surgical Hospitals,Personal Financial Advisors,380,45400,2018-05-01
General Medical and Surgical Hospitals,Financial Examiners,60,64290,2018-05-01
General Medical and Surgical Hospitals,Credit Counselors and Loan Officers,2310,44840,2018-05-01
General Medical and Surgical Hospitals,Credit Counselors,2290,44790,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Financial Specialists,3010,66680,2018-05-01
General Medical and Surgical Hospitals,"Financial Specialists, All Other",3010,66680,2018-05-01
General Medical and Surgical Hospitals,Computer and Mathematical Occupations,61170,78570,2018-05-01
General Medical and Surgical Hospitals,Computer Occupations,57070,78340,2018-05-01
General Medical and Surgical Hospitals,Computer and Information Analysts,19390,84290,2018-05-01
General Medical and Surgical Hospitals,Computer Systems Analysts,17780,83990,2018-05-01
General Medical and Surgical Hospitals,Information Security Analysts,1600,87690,2018-05-01
General Medical and Surgical Hospitals,Software Developers and Programmers,8530,89290,2018-05-01
General Medical and Surgical Hospitals,Computer Programmers,1680,83140,2018-05-01
General Medical and Surgical Hospitals,"Software Developers, Applications",4950,90350,2018-05-01
General Medical and Surgical Hospitals,"Software Developers, Systems Software",1170,97530,2018-05-01
General Medical and Surgical Hospitals,Web Developers,730,83050,2018-05-01
General Medical and Surgical Hospitals,Database and Systems Administrators and Network Architects,11070,84450,2018-05-01
General Medical and Surgical Hospitals,Database Administrators,2480,82580,2018-05-01
General Medical and Surgical Hospitals,Network and Computer Systems Administrators,6690,82460,2018-05-01
General Medical and Surgical Hospitals,Computer Network Architects,1900,93910,2018-05-01
General Medical and Surgical Hospitals,Computer Support Specialists,12860,54190,2018-05-01
General Medical and Surgical Hospitals,Computer User Support Specialists,9750,51350,2018-05-01
General Medical and Surgical Hospitals,Computer Network Support Specialists,3100,63110,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Computer Occupations,5200,84760,2018-05-01
General Medical and Surgical Hospitals,"Computer Occupations, All Other",5200,84760,2018-05-01
General Medical and Surgical Hospitals,Mathematical Science Occupations,4100,81690,2018-05-01
General Medical and Surgical Hospitals,Operations Research Analysts,1590,78310,2018-05-01
General Medical and Surgical Hospitals,Statisticians,2480,83860,2018-05-01
General Medical and Surgical Hospitals,Architecture and Engineering Occupations,2960,77910,2018-05-01
General Medical and Surgical Hospitals,"Architects, Surveyors, and Cartographers",40,109400,2018-05-01
General Medical and Surgical Hospitals,"Architects, Except Naval",40,109400,2018-05-01
General Medical and Surgical Hospitals,"Architects, Except Landscape and Naval",40,109400,2018-05-01
General Medical and Surgical Hospitals,Engineers,2140,83580,2018-05-01
General Medical and Surgical Hospitals,Biomedical Engineers,1210,79550,2018-05-01
General Medical and Surgical Hospitals,Civil Engineers,50,98840,2018-05-01
General Medical and Surgical Hospitals,Electrical and Electronics Engineers,120,88460,2018-05-01
General Medical and Surgical Hospitals,Electrical Engineers,30,101540,2018-05-01
General Medical and Surgical Hospitals,"Electronics Engineers, Except Computer",80,83310,2018-05-01
General Medical and Surgical Hospitals,"Industrial Engineers, Including Health and Safety",160,92240,2018-05-01
General Medical and Surgical Hospitals,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",70,83970,2018-05-01
General Medical and Surgical Hospitals,Industrial Engineers,90,98280,2018-05-01
General Medical and Surgical Hospitals,Mechanical Engineers,170,75070,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Engineers,370,92180,2018-05-01
General Medical and Surgical Hospitals,"Engineers, All Other",370,92180,2018-05-01
General Medical and Surgical Hospitals,"Drafters, Engineering Technicians, and Mapping Technicians",770,60430,2018-05-01
General Medical and Surgical Hospitals,Drafters,70,56620,2018-05-01
General Medical and Surgical Hospitals,Architectural and Civil Drafters,40,55340,2018-05-01
General Medical and Surgical Hospitals,"Engineering Technicians, Except Drafters",710,60780,2018-05-01
General Medical and Surgical Hospitals,Electrical and Electronics Engineering Technicians,70,67250,2018-05-01
General Medical and Surgical Hospitals,"Engineering Technicians, Except Drafters, All Other",440,60020,2018-05-01
General Medical and Surgical Hospitals,"Life, Physical, and Social Science Occupations",35000,79210,2018-05-01
General Medical and Surgical Hospitals,Life Scientists,19160,85070,2018-05-01
General Medical and Surgical Hospitals,Biological Scientists,900,92030,2018-05-01
General Medical and Surgical Hospitals,Biochemists and Biophysicists,240,109650,2018-05-01
General Medical and Surgical Hospitals,Microbiologists,280,85090,2018-05-01
General Medical and Surgical Hospitals,"Biological Scientists, All Other",380,85660,2018-05-01
General Medical and Surgical Hospitals,Medical Scientists,18190,84820,2018-05-01
General Medical and Surgical Hospitals,Epidemiologists,790,87100,2018-05-01
General Medical and Surgical Hospitals,"Medical Scientists, Except Epidemiologists",17400,84720,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Life Scientists,60,57720,2018-05-01
General Medical and Surgical Hospitals,"Life Scientists, All Other",60,57720,2018-05-01
General Medical and Surgical Hospitals,Physical Scientists,1200,176840,2018-05-01
General Medical and Surgical Hospitals,Astronomers and Physicists,1080,186840,2018-05-01
General Medical and Surgical Hospitals,Physicists,1080,186840,2018-05-01
General Medical and Surgical Hospitals,Chemists and Materials Scientists,70,95930,2018-05-01
General Medical and Surgical Hospitals,Chemists,70,95930,2018-05-01
General Medical and Surgical Hospitals,Environmental Scientists and Geoscientists,NA,70970,2018-05-01
General Medical and Surgical Hospitals,"Environmental Scientists and Specialists, Including Health",NA,70970,2018-05-01
General Medical and Surgical Hospitals,Social Scientists and Related Workers,5090,87940,2018-05-01
General Medical and Surgical Hospitals,Survey Researchers,70,51690,2018-05-01
General Medical and Surgical Hospitals,Psychologists,4770,89690,2018-05-01
General Medical and Surgical Hospitals,"Clinical, Counseling, and School Psychologists",4360,89790,2018-05-01
General Medical and Surgical Hospitals,"Psychologists, All Other",380,88960,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Social Scientists and Related Workers,240,62080,2018-05-01
General Medical and Surgical Hospitals,"Social Scientists and Related Workers, All Other",240,62080,2018-05-01
General Medical and Surgical Hospitals,"Life, Physical, and Social Science Technicians",9550,50480,2018-05-01
General Medical and Surgical Hospitals,Biological Technicians,NA,49640,2018-05-01
General Medical and Surgical Hospitals,Chemical Technicians,30,53210,2018-05-01
General Medical and Surgical Hospitals,Social Science Research Assistants,1180,44750,2018-05-01
General Medical and Surgical Hospitals,"Miscellaneous Life, Physical, and Social Science Technicians",2200,55680,2018-05-01
General Medical and Surgical Hospitals,"Environmental Science and Protection Technicians, Including Health",400,46740,2018-05-01
General Medical and Surgical Hospitals,"Life, Physical, and Social Science Technicians, All Other",1790,57640,2018-05-01
General Medical and Surgical Hospitals,Community and Social Service Occupations,90050,59570,2018-05-01
General Medical and Surgical Hospitals,"Counselors, Social Workers, and Other Community and Social Service Specialists",82350,60000,2018-05-01
General Medical and Surgical Hospitals,Counselors,14530,53300,2018-05-01
General Medical and Surgical Hospitals,"Educational, Guidance, School, and Vocational Counselors",180,61590,2018-05-01
General Medical and Surgical Hospitals,Marriage and Family Therapists,500,59320,2018-05-01
General Medical and Surgical Hospitals,Rehabilitation Counselors,1300,49610,2018-05-01
General Medical and Surgical Hospitals,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",11560,53130,2018-05-01
General Medical and Surgical Hospitals,"Counselors, All Other",980,55530,2018-05-01
General Medical and Surgical Hospitals,Social Workers,45960,63840,2018-05-01
General Medical and Surgical Hospitals,"Child, Family, and School Social Workers",2570,53950,2018-05-01
General Medical and Surgical Hospitals,Healthcare Social Workers,37510,64970,2018-05-01
General Medical and Surgical Hospitals,Mental Health and Substance Abuse Social Workers,4610,58520,2018-05-01
General Medical and Surgical Hospitals,"Social Workers, All Other",1260,70020,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Community and Social Service Specialists,21870,56370,2018-05-01
General Medical and Surgical Hospitals,Health Educators,11330,66050,2018-05-01
General Medical and Surgical Hospitals,Social and Human Service Assistants,4930,40230,2018-05-01
General Medical and Surgical Hospitals,Community Health Workers,3720,47960,2018-05-01
General Medical and Surgical Hospitals,"Community and Social Service Specialists, All Other",1880,56940,2018-05-01
General Medical and Surgical Hospitals,Religious Workers,7700,55000,2018-05-01
General Medical and Surgical Hospitals,Clergy,7400,54600,2018-05-01
General Medical and Surgical Hospitals,"Directors, Religious Activities and Education",180,75920,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Religious Workers,120,48340,2018-05-01
General Medical and Surgical Hospitals,"Religious Workers, All Other",120,48340,2018-05-01
General Medical and Surgical Hospitals,Legal Occupations,1290,133490,2018-05-01
General Medical and Surgical Hospitals,"Lawyers, Judges, and Related Workers",850,168360,2018-05-01
General Medical and Surgical Hospitals,Lawyers and Judicial Law Clerks,790,175980,2018-05-01
General Medical and Surgical Hospitals,Lawyers,790,175980,2018-05-01
General Medical and Surgical Hospitals,"Judges, Magistrates, and Other Judicial Workers",60,72660,2018-05-01
General Medical and Surgical Hospitals,"Arbitrators, Mediators, and Conciliators",60,72660,2018-05-01
General Medical and Surgical Hospitals,Legal Support Workers,440,65480,2018-05-01
General Medical and Surgical Hospitals,Paralegals and Legal Assistants,380,66330,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Legal Support Workers,60,59940,2018-05-01
General Medical and Surgical Hospitals,"Education, Training, and Library Occupations",16720,103300,2018-05-01
General Medical and Surgical Hospitals,Postsecondary Teachers,10850,132730,2018-05-01
General Medical and Surgical Hospitals,"Health Teachers, Postsecondary",9860,138810,2018-05-01
General Medical and Surgical Hospitals,"Health Specialties Teachers, Postsecondary",6160,146200,2018-05-01
General Medical and Surgical Hospitals,"Nursing Instructors and Teachers, Postsecondary",3690,126470,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Postsecondary Teachers,650,37030,2018-05-01
General Medical and Surgical Hospitals,Graduate Teaching Assistants,NA,33990,2018-05-01
General Medical and Surgical Hospitals,"Vocational Education Teachers, Postsecondary",50,54310,2018-05-01
General Medical and Surgical Hospitals,"Preschool, Primary, Secondary, and Special Education School Teachers",1440,39000,2018-05-01
General Medical and Surgical Hospitals,Preschool and Kindergarten Teachers,1130,35580,2018-05-01
General Medical and Surgical Hospitals,"Preschool Teachers, Except Special Education",1130,35560,2018-05-01
General Medical and Surgical Hospitals,Special Education Teachers,270,50790,2018-05-01
General Medical and Surgical Hospitals,"Special Education Teachers, Kindergarten and Elementary School",220,48200,2018-05-01
General Medical and Surgical Hospitals,Other Teachers and Instructors,1440,52270,2018-05-01
General Medical and Surgical Hospitals,Self-Enrichment Education Teachers,500,36920,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Teachers and Instructors,930,60500,2018-05-01
General Medical and Surgical Hospitals,"Teachers and Instructors, All Other, Except Substitute Teachers",930,60670,2018-05-01
General Medical and Surgical Hospitals,"Librarians, Curators, and Archivists",1180,56130,2018-05-01
General Medical and Surgical Hospitals,"Archivists, Curators, and Museum Technicians",80,60260,2018-05-01
General Medical and Surgical Hospitals,Archivists,70,59110,2018-05-01
General Medical and Surgical Hospitals,Librarians,930,59320,2018-05-01
General Medical and Surgical Hospitals,Library Technicians,180,37680,2018-05-01
General Medical and Surgical Hospitals,"Other Education, Training, and Library Occupations",1820,49790,2018-05-01
General Medical and Surgical Hospitals,Audio-Visual and Multimedia Collections Specialists,40,61830,2018-05-01
General Medical and Surgical Hospitals,Instructional Coordinators,770,70620,2018-05-01
General Medical and Surgical Hospitals,Teacher Assistants,890,28970,2018-05-01
General Medical and Surgical Hospitals,"Miscellaneous Education, Training, and Library Workers",110,67680,2018-05-01
General Medical and Surgical Hospitals,"Education, Training, and Library Workers, All Other",110,67680,2018-05-01
General Medical and Surgical Hospitals,"Arts, Design, Entertainment, Sports, and Media Occupations",10120,57640,2018-05-01
General Medical and Surgical Hospitals,Art and Design Workers,810,57630,2018-05-01
General Medical and Surgical Hospitals,Artists and Related Workers,120,62840,2018-05-01
General Medical and Surgical Hospitals,Multimedia Artists and Animators,60,50690,2018-05-01
General Medical and Surgical Hospitals,Designers,690,56730,2018-05-01
General Medical and Surgical Hospitals,Floral Designers,50,33250,2018-05-01
General Medical and Surgical Hospitals,Graphic Designers,530,57760,2018-05-01
General Medical and Surgical Hospitals,Interior Designers,80,62100,2018-05-01
General Medical and Surgical Hospitals,"Entertainers and Performers, Sports and Related Workers",230,57460,2018-05-01
General Medical and Surgical Hospitals,"Actors, Producers, and Directors",210,58600,2018-05-01
General Medical and Surgical Hospitals,Producers and Directors,NA,69280,2018-05-01
General Medical and Surgical Hospitals,Media and Communication Workers,8320,58200,2018-05-01
General Medical and Surgical Hospitals,Public Relations Specialists,3320,62980,2018-05-01
General Medical and Surgical Hospitals,Writers and Editors,650,70240,2018-05-01
General Medical and Surgical Hospitals,Editors,170,73600,2018-05-01
General Medical and Surgical Hospitals,Technical Writers,310,70770,2018-05-01
General Medical and Surgical Hospitals,Writers and Authors,170,65990,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Media and Communication Workers,4350,52760,2018-05-01
General Medical and Surgical Hospitals,Interpreters and Translators,4320,52630,2018-05-01
General Medical and Surgical Hospitals,"Media and Communication Workers, All Other",NA,69530,2018-05-01
General Medical and Surgical Hospitals,Media and Communication Equipment Workers,760,51600,2018-05-01
General Medical and Surgical Hospitals,Broadcast and Sound Engineering Technicians and Radio Operators,520,47150,2018-05-01
General Medical and Surgical Hospitals,Audio and Video Equipment Technicians,500,46950,2018-05-01
General Medical and Surgical Hospitals,Photographers,160,59040,2018-05-01
General Medical and Surgical Hospitals,"Television, Video, and Motion Picture Camera Operators and Editors",50,59790,2018-05-01
General Medical and Surgical Hospitals,"Camera Operators, Television, Video, and Motion Picture",40,58100,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Media and Communication Equipment Workers,30,73840,2018-05-01
General Medical and Surgical Hospitals,"Media and Communication Equipment Workers, All Other",30,73840,2018-05-01
General Medical and Surgical Hospitals,Healthcare Practitioners and Technical Occupations,2657530,79320,2018-05-01
General Medical and Surgical Hospitals,Health Diagnosing and Treating Practitioners,1941220,88870,2018-05-01
General Medical and Surgical Hospitals,Chiropractors,240,88130,2018-05-01
General Medical and Surgical Hospitals,Dentists,1620,144350,2018-05-01
General Medical and Surgical Hospitals,"Dentists, General",1100,155470,2018-05-01
General Medical and Surgical Hospitals,Oral and Maxillofacial Surgeons,290,107340,2018-05-01
General Medical and Surgical Hospitals,Orthodontists,150,125000,2018-05-01
General Medical and Surgical Hospitals,"Dentists, All Other Specialists",70,173440,2018-05-01
General Medical and Surgical Hospitals,Dietitians and Nutritionists,15750,62570,2018-05-01
General Medical and Surgical Hospitals,Optometrists,330,113440,2018-05-01
General Medical and Surgical Hospitals,Pharmacists,63240,125180,2018-05-01
General Medical and Surgical Hospitals,Physicians and Surgeons,140820,189670,2018-05-01
General Medical and Surgical Hospitals,Anesthesiologists,3260,215800,2018-05-01
General Medical and Surgical Hospitals,Family and General Practitioners,15260,206880,2018-05-01
General Medical and Surgical Hospitals,"Internists, General",8230,171870,2018-05-01
General Medical and Surgical Hospitals,Obstetricians and Gynecologists,2810,217550,2018-05-01
General Medical and Surgical Hospitals,"Pediatricians, General",4660,168420,2018-05-01
General Medical and Surgical Hospitals,Psychiatrists,2690,212390,2018-05-01
General Medical and Surgical Hospitals,Surgeons,6000,232390,2018-05-01
General Medical and Surgical Hospitals,"Physicians and Surgeons, All Other",97910,184580,2018-05-01
General Medical and Surgical Hospitals,Physician Assistants,24900,109330,2018-05-01
General Medical and Surgical Hospitals,Podiatrists,550,138330,2018-05-01
General Medical and Surgical Hospitals,Therapists,186550,75090,2018-05-01
General Medical and Surgical Hospitals,Occupational Therapists,23310,85560,2018-05-01
General Medical and Surgical Hospitals,Physical Therapists,47040,90050,2018-05-01
General Medical and Surgical Hospitals,Radiation Therapists,9980,85710,2018-05-01
General Medical and Surgical Hospitals,Recreational Therapists,2760,53280,2018-05-01
General Medical and Surgical Hospitals,Respiratory Therapists,84530,62720,2018-05-01
General Medical and Surgical Hospitals,Speech-Language Pathologists,14070,85170,2018-05-01
General Medical and Surgical Hospitals,Exercise Physiologists,3450,52310,2018-05-01
General Medical and Surgical Hospitals,"Therapists, All Other",1390,67030,2018-05-01
General Medical and Surgical Hospitals,Veterinarians,30,119560,2018-05-01
General Medical and Surgical Hospitals,Registered Nurses,1453920,77830,2018-05-01
General Medical and Surgical Hospitals,Nurse Anesthetists,10320,186690,2018-05-01
General Medical and Surgical Hospitals,Nurse Midwives,1430,109930,2018-05-01
General Medical and Surgical Hospitals,Nurse Practitioners,36690,113450,2018-05-01
General Medical and Surgical Hospitals,Audiologists,1610,83340,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Health Diagnosing and Treating Practitioners,3210,81680,2018-05-01
General Medical and Surgical Hospitals,"Health Diagnosing and Treating Practitioners, All Other",3210,81680,2018-05-01
General Medical and Surgical Hospitals,Health Technologists and Technicians,699440,53250,2018-05-01
General Medical and Surgical Hospitals,Clinical Laboratory Technologists and Technicians,133960,56020,2018-05-01
General Medical and Surgical Hospitals,Dental Hygienists,480,70430,2018-05-01
General Medical and Surgical Hospitals,Diagnostic Related Technologists and Technicians,211520,65830,2018-05-01
General Medical and Surgical Hospitals,Cardiovascular Technologists and Technicians,38710,58480,2018-05-01
General Medical and Surgical Hospitals,Diagnostic Medical Sonographers,37300,74200,2018-05-01
General Medical and Surgical Hospitals,Nuclear Medicine Technologists,12060,78860,2018-05-01
General Medical and Surgical Hospitals,Radiologic Technologists,103290,62890,2018-05-01
General Medical and Surgical Hospitals,Magnetic Resonance Imaging Technologists,20160,71760,2018-05-01
General Medical and Surgical Hospitals,Emergency Medical Technicians and Paramedics,36030,39030,2018-05-01
General Medical and Surgical Hospitals,Health Practitioner Support Technologists and Technicians,149050,43500,2018-05-01
General Medical and Surgical Hospitals,Dietetic Technicians,9750,33480,2018-05-01
General Medical and Surgical Hospitals,Pharmacy Technicians,54670,38640,2018-05-01
General Medical and Surgical Hospitals,Psychiatric Technicians,9840,35030,2018-05-01
General Medical and Surgical Hospitals,Respiratory Therapy Technicians,5920,54420,2018-05-01
General Medical and Surgical Hospitals,Surgical Technologists,67080,49070,2018-05-01
General Medical and Surgical Hospitals,Veterinary Technologists and Technicians,160,45120,2018-05-01
General Medical and Surgical Hospitals,Ophthalmic Medical Technicians,1630,48270,2018-05-01
General Medical and Surgical Hospitals,Licensed Practical and Licensed Vocational Nurses,69350,45450,2018-05-01
General Medical and Surgical Hospitals,Medical Records and Health Information Technicians,54890,46640,2018-05-01
General Medical and Surgical Hospitals,"Opticians, Dispensing",270,42170,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Health Technologists and Technicians,43900,49340,2018-05-01
General Medical and Surgical Hospitals,Orthotists and Prosthetists,540,62680,2018-05-01
General Medical and Surgical Hospitals,Hearing Aid Specialists,190,43180,2018-05-01
General Medical and Surgical Hospitals,"Health Technologists and Technicians, All Other",43160,49200,2018-05-01
General Medical and Surgical Hospitals,Other Healthcare Practitioners and Technical Occupations,16870,61220,2018-05-01
General Medical and Surgical Hospitals,Occupational Health and Safety Specialists and Technicians,3510,68960,2018-05-01
General Medical and Surgical Hospitals,Occupational Health and Safety Specialists,2790,73430,2018-05-01
General Medical and Surgical Hospitals,Occupational Health and Safety Technicians,720,51530,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Health Practitioners and Technical Workers,13360,59190,2018-05-01
General Medical and Surgical Hospitals,Athletic Trainers,4420,47660,2018-05-01
General Medical and Surgical Hospitals,Genetic Counselors,910,81340,2018-05-01
General Medical and Surgical Hospitals,"Healthcare Practitioners and Technical Workers, All Other",8020,63030,2018-05-01
General Medical and Surgical Hospitals,Healthcare Support Occupations,572080,33900,2018-05-01
General Medical and Surgical Hospitals,"Nursing, Psychiatric, and Home Health Aides",357230,31420,2018-05-01
General Medical and Surgical Hospitals,Home Health Aides,NA,28500,2018-05-01
General Medical and Surgical Hospitals,Psychiatric Aides,NA,34860,2018-05-01
General Medical and Surgical Hospitals,Nursing Assistants,312160,31560,2018-05-01
General Medical and Surgical Hospitals,Orderlies,34600,30260,2018-05-01
General Medical and Surgical Hospitals,Occupational Therapy and Physical Therapist Assistants and Aides,27440,48540,2018-05-01
General Medical and Surgical Hospitals,Occupational Therapy Assistants and Aides,5390,50030,2018-05-01
General Medical and Surgical Hospitals,Occupational Therapy Assistants,4260,54740,2018-05-01
General Medical and Surgical Hospitals,Occupational Therapy Aides,1130,32190,2018-05-01
General Medical and Surgical Hospitals,Physical Therapist Assistants and Aides,22060,48170,2018-05-01
General Medical and Surgical Hospitals,Physical Therapist Assistants,15690,55010,2018-05-01
General Medical and Surgical Hospitals,Physical Therapist Aides,6360,31300,2018-05-01
General Medical and Surgical Hospitals,Other Healthcare Support Occupations,187410,36490,2018-05-01
General Medical and Surgical Hospitals,Massage Therapists,840,53020,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Healthcare Support Occupations,186570,36420,2018-05-01
General Medical and Surgical Hospitals,Dental Assistants,1740,40900,2018-05-01
General Medical and Surgical Hospitals,Medical Assistants,79510,35740,2018-05-01
General Medical and Surgical Hospitals,Medical Equipment Preparers,33870,38170,2018-05-01
General Medical and Surgical Hospitals,Medical Transcriptionists,9510,40920,2018-05-01
General Medical and Surgical Hospitals,Pharmacy Aides,2350,36140,2018-05-01
General Medical and Surgical Hospitals,Veterinary Assistants and Laboratory Animal Caretakers,NA,36300,2018-05-01
General Medical and Surgical Hospitals,Phlebotomists,39450,34790,2018-05-01
General Medical and Surgical Hospitals,"Healthcare Support Workers, All Other",NA,36880,2018-05-01
General Medical and Surgical Hospitals,Protective Service Occupations,38110,38690,2018-05-01
General Medical and Surgical Hospitals,Supervisors of Protective Service Workers,2470,58820,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Law Enforcement Workers,40,80680,2018-05-01
General Medical and Surgical Hospitals,First-Line Supervisors of Police and Detectives,40,80680,2018-05-01
General Medical and Surgical Hospitals,"Miscellaneous First-Line Supervisors, Protective Service Workers",2430,58420,2018-05-01
General Medical and Surgical Hospitals,"First-Line Supervisors of Protective Service Workers, All Other",2430,58420,2018-05-01
General Medical and Surgical Hospitals,Fire Fighting and Prevention Workers,50,47510,2018-05-01
General Medical and Surgical Hospitals,Firefighters,40,47060,2018-05-01
General Medical and Surgical Hospitals,Law Enforcement Workers,1310,60790,2018-05-01
General Medical and Surgical Hospitals,Police Officers,1300,61080,2018-05-01
General Medical and Surgical Hospitals,Police and Sheriff's Patrol Officers,1300,61080,2018-05-01
General Medical and Surgical Hospitals,Other Protective Service Workers,34270,36380,2018-05-01
General Medical and Surgical Hospitals,Security Guards and Gaming Surveillance Officers,33790,36420,2018-05-01
General Medical and Surgical Hospitals,Security Guards,33790,36420,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Protective Service Workers,470,32990,2018-05-01
