NAICS_TITLE,OCC_TITLE,emp2018,salary2018,emp2013,salary2013,emp2008,salary2008,emp2003,salary2003
General Medical and Surgical Hospitals,Food Service Managers,1460,81020,1270,73780,NA,NA,NA,NA
General Medical and Surgical Hospitals,Lodging Managers,90,87660,100,75580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical and Health Services Managers,100680,122790,97070,109210,NA,NA,NA,NA
General Medical and Surgical Hospitals,Natural Sciences Managers,1610,109100,630,107020,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Property, Real Estate, and Community Association Managers",230,113550,230,96710,NA,NA,NA,NA
General Medical and Surgical Hospitals,Social and Community Service Managers,2690,89320,2210,80980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Emergency Management Directors,660,91950,780,76610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Managers,8630,114580,8450,104370,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Managers, All Other",8630,114580,8450,104370,NA,NA,NA,NA
General Medical and Surgical Hospitals,Business and Financial Operations Occupations,96670,67980,88190,63450,NA,NA,NA,NA
General Medical and Surgical Hospitals,Business Operations Specialists,73950,67840,65210,63780,NA,NA,NA,NA
General Medical and Surgical Hospitals,Buyers and Purchasing Agents,6970,56540,7430,52480,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Claims Adjusters, Appraisers, Examiners, and Investigators",250,61290,430,59380,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Claims Adjusters, Examiners, and Investigators",250,61290,430,59380,NA,NA,NA,NA
General Medical and Surgical Hospitals,Compliance Officers,5310,72400,4510,71160,NA,NA,NA,NA
General Medical and Surgical Hospitals,Cost Estimators,50,70470,60,73030,NA,NA,NA,NA
General Medical and Surgical Hospitals,Human Resources Workers,15390,62490,13200,58390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Human Resources Specialists,14940,62030,12450,57680,NA,NA,NA,NA
General Medical and Surgical Hospitals,Labor Relations Specialists,450,77540,740,70270,NA,NA,NA,NA
General Medical and Surgical Hospitals,Logisticians,780,67190,330,62150,300,59950,NA,NA
General Medical and Surgical Hospitals,Management Analysts,7680,81780,5810,76320,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Meeting, Convention, and Event Planners",640,58520,410,52090,NA,NA,NA,NA
General Medical and Surgical Hospitals,Fundraisers,2090,66110,1080,61630,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Compensation, Benefits, and Job Analysis Specialists",2420,67130,2720,61020,NA,NA,NA,NA
General Medical and Surgical Hospitals,Training and Development Specialists,8610,70870,7430,65570,NA,NA,NA,NA
General Medical and Surgical Hospitals,Market Research Analysts and Marketing Specialists,3490,68110,2310,60580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Business Operations Specialists,20260,68630,19490,66840,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Business Operations Specialists, All Other",20260,68630,19490,66840,NA,NA,NA,NA
General Medical and Surgical Hospitals,Financial Specialists,22720,68460,22980,62520,NA,NA,NA,NA
General Medical and Surgical Hospitals,Accountants and Auditors,11200,71310,12920,63770,NA,NA,NA,NA
General Medical and Surgical Hospitals,Budget Analysts,960,77030,1020,68530,NA,NA,NA,NA
General Medical and Surgical Hospitals,Credit Analysts,70,69270,160,55500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Financial Analysts and Advisors,5110,72370,NA,67510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Financial Analysts,4710,74540,4050,68480,NA,NA,NA,NA
General Medical and Surgical Hospitals,Personal Financial Advisors,380,45400,310,57820,NA,NA,NA,NA
General Medical and Surgical Hospitals,Financial Examiners,60,64290,80,66770,NA,NA,NA,NA
General Medical and Surgical Hospitals,Credit Counselors and Loan Officers,2310,44840,1370,39870,NA,NA,NA,NA
General Medical and Surgical Hospitals,Credit Counselors,2290,44790,1350,39800,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Financial Specialists,3010,66680,3020,58390,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Financial Specialists, All Other",3010,66680,3020,58390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer and Mathematical Occupations,61170,78570,53560,69630,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Occupations,57070,78340,51050,69860,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer and Information Analysts,19390,84290,13770,75220,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Systems Analysts,17780,83990,11880,75270,NA,NA,NA,NA
General Medical and Surgical Hospitals,Information Security Analysts,1600,87690,1890,74930,NA,NA,NA,NA
General Medical and Surgical Hospitals,Software Developers and Programmers,8530,89290,9390,80070,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Programmers,1680,83140,2040,77330,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Software Developers, Applications",4950,90350,5460,80950,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Software Developers, Systems Software",1170,97530,930,86920,NA,NA,NA,NA
General Medical and Surgical Hospitals,Web Developers,730,83050,970,74270,NA,NA,NA,NA
General Medical and Surgical Hospitals,Database and Systems Administrators and Network Architects,11070,84450,12030,75870,NA,NA,NA,NA
General Medical and Surgical Hospitals,Database Administrators,2480,82580,2490,74740,NA,NA,NA,NA
General Medical and Surgical Hospitals,Network and Computer Systems Administrators,6690,82460,7430,73330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Network Architects,1900,93910,2110,86130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Support Specialists,12860,54190,13610,51590,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer User Support Specialists,9750,51350,9940,49130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer Network Support Specialists,3100,63110,3670,58240,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Computer Occupations,5200,84760,2180,72730,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Computer Occupations, All Other",5200,84760,2180,72730,NA,NA,NA,NA
General Medical and Surgical Hospitals,Mathematical Science Occupations,4100,81690,2500,65090,NA,NA,NA,NA
General Medical and Surgical Hospitals,Operations Research Analysts,1590,78310,1540,60130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Statisticians,2480,83860,940,72860,980,48500,670,45930
General Medical and Surgical Hospitals,Architecture and Engineering Occupations,2960,77910,3160,68430,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Architects, Surveyors, and Cartographers",40,109400,80,85860,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Architects, Except Naval",40,109400,80,85860,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Architects, Except Landscape and Naval",40,109400,80,85850,NA,NA,NA,NA
General Medical and Surgical Hospitals,Engineers,2140,83580,2150,75950,NA,NA,NA,NA
General Medical and Surgical Hospitals,Biomedical Engineers,1210,79550,1290,73410,NA,NA,NA,NA
General Medical and Surgical Hospitals,Civil Engineers,50,98840,110,78980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Electrical and Electronics Engineers,120,88460,120,86300,NA,NA,NA,NA
General Medical and Surgical Hospitals,Electrical Engineers,30,101540,60,91380,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Electronics Engineers, Except Computer",80,83310,60,81530,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Industrial Engineers, Including Health and Safety",160,92240,210,76560,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",70,83970,150,75220,NA,NA,NA,NA
General Medical and Surgical Hospitals,Industrial Engineers,90,98280,60,80070,NA,NA,NA,NA
General Medical and Surgical Hospitals,Mechanical Engineers,170,75070,50,72460,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Engineers,370,92180,260,79440,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Engineers, All Other",370,92180,260,79440,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Drafters, Engineering Technicians, and Mapping Technicians",770,60430,930,49580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Drafters,70,56620,80,51620,NA,NA,NA,NA
General Medical and Surgical Hospitals,Architectural and Civil Drafters,40,55340,50,54210,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Engineering Technicians, Except Drafters",710,60780,850,49390,NA,NA,NA,NA
General Medical and Surgical Hospitals,Electrical and Electronics Engineering Technicians,70,67250,120,57510,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Engineering Technicians, Except Drafters, All Other",440,60020,510,56910,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Life, Physical, and Social Science Occupations",35000,79210,26940,70660,NA,NA,NA,NA
General Medical and Surgical Hospitals,Life Scientists,19160,85070,12810,79640,NA,NA,NA,NA
General Medical and Surgical Hospitals,Biological Scientists,900,92030,880,87080,NA,NA,NA,NA
General Medical and Surgical Hospitals,Biochemists and Biophysicists,240,109650,320,109180,NA,NA,NA,NA
General Medical and Surgical Hospitals,Microbiologists,280,85090,360,70590,430,67320,880,51640
General Medical and Surgical Hospitals,"Biological Scientists, All Other",380,85660,200,81680,NA,NA,NA,NA
General Medical and Surgical Hospitals,Medical Scientists,18190,84820,11620,79190,NA,NA,NA,NA
General Medical and Surgical Hospitals,Epidemiologists,790,87100,800,81480,580,71030,410,59550
General Medical and Surgical Hospitals,"Medical Scientists, Except Epidemiologists",17400,84720,10820,79020,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Life Scientists,60,57720,NA,75740,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Life Scientists, All Other",60,57720,NA,75740,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physical Scientists,1200,176840,2260,96340,NA,NA,NA,NA
General Medical and Surgical Hospitals,Astronomers and Physicists,1080,186840,900,166000,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physicists,1080,186840,900,166000,830,143390,750,104980
General Medical and Surgical Hospitals,Chemists and Materials Scientists,70,95930,110,76840,NA,NA,NA,NA
General Medical and Surgical Hospitals,Chemists,70,95930,110,76840,260,63390,490,49730
General Medical and Surgical Hospitals,Environmental Scientists and Geoscientists,NA,70970,1250,47850,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Environmental Scientists and Specialists, Including Health",NA,70970,1250,47850,NA,NA,NA,NA
General Medical and Surgical Hospitals,Social Scientists and Related Workers,5090,87940,4090,80280,NA,NA,NA,NA
General Medical and Surgical Hospitals,Survey Researchers,70,51690,40,76970,NA,NA,NA,NA
General Medical and Surgical Hospitals,Psychologists,4770,89690,3890,81090,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Clinical, Counseling, and School Psychologists",4360,89790,3500,79880,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Psychologists, All Other",380,88960,390,91870,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Social Scientists and Related Workers,240,62080,160,61220,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Social Scientists and Related Workers, All Other",240,62080,160,60920,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Life, Physical, and Social Science Technicians",9550,50480,7770,43300,NA,NA,NA,NA
General Medical and Surgical Hospitals,Biological Technicians,NA,49640,3790,41670,NA,NA,NA,NA
General Medical and Surgical Hospitals,Chemical Technicians,30,53210,60,40130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Social Science Research Assistants,1180,44750,450,49940,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Miscellaneous Life, Physical, and Social Science Technicians",2200,55680,3460,44150,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Environmental Science and Protection Technicians, Including Health",400,46740,1570,37520,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Life, Physical, and Social Science Technicians, All Other",1790,57640,1870,49410,NA,NA,NA,NA
General Medical and Surgical Hospitals,Community and Social Service Occupations,90050,59570,83590,54130,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Counselors, Social Workers, and Other Community and Social Service Specialists",82350,60000,77020,54540,NA,NA,NA,NA
General Medical and Surgical Hospitals,Counselors,14530,53300,13660,49290,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Educational, Guidance, School, and Vocational Counselors",180,61590,120,56370,NA,NA,NA,NA
General Medical and Surgical Hospitals,Marriage and Family Therapists,500,59320,660,55850,NA,NA,NA,NA
General Medical and Surgical Hospitals,Rehabilitation Counselors,1300,49610,1320,48400,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",11560,53130,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Counselors, All Other",980,55530,1050,51680,NA,NA,NA,NA
General Medical and Surgical Hospitals,Social Workers,45960,63840,43300,57610,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Child, Family, and School Social Workers",2570,53950,2030,48250,NA,NA,NA,NA
General Medical and Surgical Hospitals,Healthcare Social Workers,37510,64970,34250,58500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Mental Health and Substance Abuse Social Workers,4610,58520,4530,50890,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Social Workers, All Other",1260,70020,2490,65310,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Community and Social Service Specialists,21870,56370,20060,51500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Health Educators,11330,66050,10000,60930,NA,NA,NA,NA
General Medical and Surgical Hospitals,Social and Human Service Assistants,4930,40230,5630,35210,NA,NA,NA,NA
General Medical and Surgical Hospitals,Community Health Workers,3720,47960,2190,45040,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Community and Social Service Specialists, All Other",1880,56940,2230,56600,NA,NA,NA,NA
General Medical and Surgical Hospitals,Religious Workers,7700,55000,6570,49250,NA,NA,NA,NA
General Medical and Surgical Hospitals,Clergy,7400,54600,6220,48860,5810,46060,5550,39780
General Medical and Surgical Hospitals,"Directors, Religious Activities and Education",180,75920,160,69230,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Religious Workers,120,48340,200,45000,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Religious Workers, All Other",120,48340,200,45000,NA,NA,NA,NA
General Medical and Surgical Hospitals,Legal Occupations,1290,133490,1080,117420,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Lawyers, Judges, and Related Workers",850,168360,660,157360,NA,NA,NA,NA
General Medical and Surgical Hospitals,Lawyers and Judicial Law Clerks,790,175980,620,160800,NA,NA,NA,NA
General Medical and Surgical Hospitals,Lawyers,790,175980,620,160800,670,130930,430,113590
General Medical and Surgical Hospitals,"Judges, Magistrates, and Other Judicial Workers",60,72660,40,100620,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Arbitrators, Mediators, and Conciliators",60,72660,40,100620,NA,NA,NA,NA
General Medical and Surgical Hospitals,Legal Support Workers,440,65480,410,53400,NA,NA,NA,NA
General Medical and Surgical Hospitals,Paralegals and Legal Assistants,380,66330,310,56990,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Legal Support Workers,60,59940,110,43030,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Education, Training, and Library Occupations",16720,103300,13650,82740,NA,NA,NA,NA
General Medical and Surgical Hospitals,Postsecondary Teachers,10850,132730,8090,108250,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Health Teachers, Postsecondary",9860,138810,7520,112380,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Health Specialties Teachers, Postsecondary",6160,146200,4840,129020,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Nursing Instructors and Teachers, Postsecondary",3690,126470,2690,82430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Postsecondary Teachers,650,37030,540,51230,NA,NA,NA,NA
General Medical and Surgical Hospitals,Graduate Teaching Assistants,NA,33990,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Vocational Education Teachers, Postsecondary",50,54310,40,63980,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Preschool, Primary, Secondary, and Special Education School Teachers",1440,39000,1370,37150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Preschool and Kindergarten Teachers,1130,35580,NA,34160,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Preschool Teachers, Except Special Education",1130,35560,1080,34270,NA,NA,NA,NA
General Medical and Surgical Hospitals,Special Education Teachers,270,50790,150,52240,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Special Education Teachers, Kindergarten and Elementary School",220,48200,70,51150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Teachers and Instructors,1440,52270,1380,52100,NA,NA,NA,NA
General Medical and Surgical Hospitals,Self-Enrichment Education Teachers,500,36920,170,44750,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Teachers and Instructors,930,60500,1190,53060,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Teachers and Instructors, All Other, Except Substitute Teachers",930,60670,1180,53230,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Librarians, Curators, and Archivists",1180,56130,1490,53000,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Archivists, Curators, and Museum Technicians",80,60260,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Archivists,70,59110,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,Librarians,930,59320,1160,56840,1150,51580,1740,40840
General Medical and Surgical Hospitals,Library Technicians,180,37680,310,38660,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Other Education, Training, and Library Occupations",1820,49790,1320,39330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Audio-Visual and Multimedia Collections Specialists,40,61830,60,42330,NA,NA,NA,NA
General Medical and Surgical Hospitals,Instructional Coordinators,770,70620,320,68610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Teacher Assistants,890,28970,830,25700,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Miscellaneous Education, Training, and Library Workers",110,67680,110,56730,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Education, Training, and Library Workers, All Other",110,67680,110,56730,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Arts, Design, Entertainment, Sports, and Media Occupations",10120,57640,9840,53020,NA,NA,NA,NA
General Medical and Surgical Hospitals,Art and Design Workers,810,57630,790,51630,NA,NA,NA,NA
General Medical and Surgical Hospitals,Artists and Related Workers,120,62840,70,68450,NA,NA,NA,NA
General Medical and Surgical Hospitals,Multimedia Artists and Animators,60,50690,30,70040,NA,NA,NA,NA
General Medical and Surgical Hospitals,Designers,690,56730,720,49960,NA,NA,NA,NA
General Medical and Surgical Hospitals,Floral Designers,50,33250,40,35010,NA,NA,NA,NA
General Medical and Surgical Hospitals,Graphic Designers,530,57760,620,49980,NA,NA,NA,NA
General Medical and Surgical Hospitals,Interior Designers,80,62100,60,59330,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Entertainers and Performers, Sports and Related Workers",230,57460,70,52790,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Actors, Producers, and Directors",210,58600,50,49510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Producers and Directors,NA,69280,50,49510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Media and Communication Workers,8320,58200,8210,53650,NA,NA,NA,NA
General Medical and Surgical Hospitals,Public Relations Specialists,3320,62980,3890,57060,NA,NA,NA,NA
General Medical and Surgical Hospitals,Writers and Editors,650,70240,720,67310,NA,NA,NA,NA
General Medical and Surgical Hospitals,Editors,170,73600,200,63210,270,56150,230,49660
General Medical and Surgical Hospitals,Technical Writers,310,70770,350,73050,NA,NA,NA,NA
General Medical and Surgical Hospitals,Writers and Authors,170,65990,170,60140,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Media and Communication Workers,4350,52760,3600,47250,NA,NA,NA,NA
General Medical and Surgical Hospitals,Interpreters and Translators,4320,52630,3490,46900,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Media and Communication Workers, All Other",NA,69530,120,57860,NA,NA,NA,NA
General Medical and Surgical Hospitals,Media and Communication Equipment Workers,760,51600,760,47660,NA,NA,NA,NA
General Medical and Surgical Hospitals,Broadcast and Sound Engineering Technicians and Radio Operators,520,47150,490,42810,NA,NA,NA,NA
General Medical and Surgical Hospitals,Audio and Video Equipment Technicians,500,46950,490,42650,NA,NA,NA,NA
General Medical and Surgical Hospitals,Photographers,160,59040,150,52320,240,44680,270,38750
General Medical and Surgical Hospitals,"Television, Video, and Motion Picture Camera Operators and Editors",50,59790,40,51590,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Camera Operators, Television, Video, and Motion Picture",40,58100,40,51900,NA,NA,NA,NA
General Medical and Surgical Hospitals,Miscellaneous Media and Communication Equipment Workers,30,73840,70,68510,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Media and Communication Equipment Workers, All Other",30,73840,70,68510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Healthcare Practitioners and Technical Occupations,2657530,79320,2438930,70430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Health Diagnosing and Treating Practitioners,1941220,88870,1743110,79030,NA,NA,NA,NA
General Medical and Surgical Hospitals,Chiropractors,240,88130,290,59340,560,67780,280,58240
General Medical and Surgical Hospitals,Dentists,1620,144350,1220,130820,NA,NA,1200,95080
General Medical and Surgical Hospitals,"Dentists, General",1100,155470,770,132640,NA,NA,NA,NA
General Medical and Surgical Hospitals,Oral and Maxillofacial Surgeons,290,107340,160,114430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Orthodontists,150,125000,NA,NA,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Dentists, All Other Specialists",70,173440,270,133720,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dietitians and Nutritionists,15750,62570,15950,57120,NA,NA,NA,NA
General Medical and Surgical Hospitals,Optometrists,330,113440,210,133750,510,104890,270,98690
General Medical and Surgical Hospitals,Pharmacists,63240,125180,53810,115480,55530,103480,49870,80590
General Medical and Surgical Hospitals,Physicians and Surgeons,140820,189670,NA,156610,NA,NA,NA,NA
General Medical and Surgical Hospitals,Anesthesiologists,3260,215800,2970,190860,4870,166420,2680,135020
General Medical and Surgical Hospitals,Family and General Practitioners,15260,206880,17470,166780,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Internists, General",8230,171870,9130,153150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Obstetricians and Gynecologists,2810,217550,NA,199700,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Pediatricians, General",4660,168420,4150,152810,NA,NA,NA,NA
General Medical and Surgical Hospitals,Psychiatrists,2690,212390,2690,175070,3440,155700,3130,124590
General Medical and Surgical Hospitals,Surgeons,6000,232390,5900,218790,5730,180080,3470,142630
General Medical and Surgical Hospitals,"Physicians and Surgeons, All Other",97910,184580,74850,146060,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physician Assistants,24900,109330,16910,95740,NA,NA,NA,NA
General Medical and Surgical Hospitals,Podiatrists,550,138330,290,117580,490,95370,410,90430
General Medical and Surgical Hospitals,Therapists,186550,75090,168790,68470,NA,NA,NA,NA
General Medical and Surgical Hospitals,Occupational Therapists,23310,85560,21000,76840,NA,NA,NA,NA
General Medical and Surgical Hospitals,Physical Therapists,47040,90050,42450,81430,NA,NA,NA,NA
General Medical and Surgical Hospitals,Radiation Therapists,9980,85710,8990,79620,NA,NA,NA,NA
General Medical and Surgical Hospitals,Recreational Therapists,2760,53280,2800,48910,NA,NA,NA,NA
General Medical and Surgical Hospitals,Respiratory Therapists,84530,62720,76560,57940,NA,NA,NA,NA
General Medical and Surgical Hospitals,Speech-Language Pathologists,14070,85170,12060,77130,NA,NA,NA,NA
General Medical and Surgical Hospitals,Exercise Physiologists,3450,52310,2860,48470,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Therapists, All Other",1390,67030,2070,62140,NA,NA,NA,NA
General Medical and Surgical Hospitals,Veterinarians,30,119560,50,92740,NA,NA,30,70000
General Medical and Surgical Hospitals,Registered Nurses,1453920,77830,1324670,70930,NA,NA,NA,NA
General Medical and Surgical Hospitals,Nurse Anesthetists,10320,186690,8120,163830,NA,NA,NA,NA
General Medical and Surgical Hospitals,Nurse Midwives,1430,109930,1290,96970,NA,NA,NA,NA
General Medical and Surgical Hospitals,Nurse Practitioners,36690,113450,24890,98850,NA,NA,NA,NA
General Medical and Surgical Hospitals,Audiologists,1610,83340,1220,76690,1330,68090,1360,55570
General Medical and Surgical Hospitals,Miscellaneous Health Diagnosing and Treating Practitioners,3210,81680,4940,75650,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Health Diagnosing and Treating Practitioners, All Other",3210,81680,4940,75650,NA,NA,NA,NA
General Medical and Surgical Hospitals,Health Technologists and Technicians,699440,53250,674680,48700,NA,NA,NA,NA
General Medical and Surgical Hospitals,Clinical Laboratory Technologists and Technicians,133960,56020,138610,52450,NA,NA,NA,NA
General Medical and Surgical Hospitals,Dental Hygienists,480,70430,440,64020,NA,NA,NA,NA
